gid	ftype
Zm00001d034942	subgenome1_fractionated
Zm00001d034941	subgenome1_fractionated
Zm00001d034940	subgenome1_fractionated
Zm00001d034937	subgenome1_fractionated
Zm00001d034935	subgenome1_fractionated
Zm00001d034936	subgenome1_fractionated
Zm00001d034934	subgenome1_fractionated
Zm00001d034933	subgenome1_fractionated
Zm00001d034932	subgenome1_fractionated
Zm00001d034931	subgenome1_fractionated
Zm00001d034929	subgenome1_fractionated
Zm00001d034927	subgenome1_fractionated
Zm00001d034925	subgenome1_fractionated
Zm00001d034924	subgenome1_fractionated
Zm00001d034920	subgenome1_fractionated
Zm00001d034919	subgenome1_fractionated
Zm00001d034918	subgenome1_fractionated
Zm00001d034918	subgenome1_retained
Zm00001d034917	subgenome1_fractionated
Zm00001d034916	subgenome1_fractionated
Zm00001d034915	subgenome1_retained
Zm00001d034914	subgenome1_retained
Zm00001d034901	subgenome1_retained
Zm00001d034900	subgenome1_fractionated
Zm00001d034898	subgenome1_retained
Zm00001d034897	subgenome1_fractionated
Zm00001d034896	subgenome1_retained
Zm00001d034894	subgenome1_fractionated
Zm00001d034893	subgenome1_fractionated
Zm00001d034892	subgenome1_retained
Zm00001d034891	subgenome1_fractionated
Zm00001d034890	subgenome1_retained
Zm00001d034888	subgenome1_fractionated
Zm00001d034887	subgenome1_fractionated
Zm00001d034886	subgenome1_retained
Zm00001d034885	subgenome1_retained
Zm00001d034884	subgenome1_fractionated
Zm00001d034883	subgenome1_retained
Zm00001d034882	subgenome1_retained
Zm00001d034880	subgenome1_fractionated
Zm00001d034879	subgenome1_fractionated
Zm00001d034878	subgenome1_fractionated
Zm00001d034877	subgenome1_fractionated
Zm00001d034876	subgenome1_retained
Zm00001d034875	subgenome1_fractionated
Zm00001d034874	subgenome1_fractionated
Zm00001d034872	subgenome1_fractionated
Zm00001d034871	subgenome1_retained
Zm00001d034870	subgenome1_fractionated
Zm00001d034869	subgenome1_retained
Zm00001d034868	subgenome1_fractionated
Zm00001d034867	subgenome1_retained
Zm00001d034866	subgenome1_fractionated
Zm00001d034865	subgenome1_fractionated
Zm00001d034863	subgenome1_fractionated
Zm00001d034862	subgenome1_retained
Zm00001d034859	subgenome1_fractionated
Zm00001d034858	subgenome1_retained
Zm00001d034858	subgenome1_fractionated
Zm00001d034857	subgenome1_retained
Zm00001d034856	subgenome1_retained
Zm00001d034855	subgenome1_fractionated
Zm00001d034853	subgenome1_fractionated
Zm00001d034852	subgenome1_fractionated
Zm00001d034851	subgenome1_fractionated
Zm00001d034849	subgenome1_retained
Zm00001d034848	subgenome1_fractionated
Zm00001d034844	subgenome1_retained
Zm00001d034842	subgenome1_retained
Zm00001d034841	subgenome1_retained
Zm00001d034840	subgenome1_fractionated
Zm00001d034839	subgenome1_fractionated
Zm00001d034838	subgenome1_fractionated
