sorghum	maize1	maize2	ftype
EER90453	Zm00001d034942	.	maize1-retained
EER93047	Zm00001d034941	.	maize1-retained
KXG37057	.	.	non-syntenic
KXG37059	Zm00001d034940	.	maize1-retained
OQU90574	.	.	non-syntenic
OQU90575	Zm00001d034937	.	maize1-retained
EER93049	Zm00001d034935	.	maize1-retained
EER90455	Zm00001d034936	.	maize1-retained
KXG37063	Zm00001d034934	.	maize1-retained
OQU90579	.	.	non-syntenic
KXG37064	Zm00001d034934	.	maize1-retained
EER93051	Zm00001d034933	.	maize1-retained
EER90457	Zm00001d034932	.	maize1-retained
OQU90581	Zm00001d034931	.	maize1-retained
KXG37068	.	.	non-syntenic
EER90458	.	Zm00001d012799	maize2-retained
KXG37070	Zm00001d034929	.	maize1-retained
EER93053	.	.	non-syntenic
OQU90584	.	.	non-syntenic
OQU90583	.	.	non-syntenic
EER90459	Zm00001d034927	.	maize1-retained
EER90460	Zm00001d034925	.	maize1-retained
EER90461	Zm00001d034924	.	maize1-retained
EER90462	Zm00001d034920	.	maize1-retained
KXG37071	.	Zm00001d012800	maize2-retained
OQU90585	.	.	non-syntenic
EER90463	.	.	non-syntenic
OQU90586	.	Zm00001d012808	maize2-retained
KXG37073	.	.	non-syntenic
EER90465	.	Zm00001d012809	maize2-retained
EER90466	Zm00001d034919	.	maize1-retained
KXG37075	.	Zm00001d012810	maize2-retained
EER90467	Zm00001d034918	.	maize1-retained
EER93056	.	.	non-syntenic
EER90468	Zm00001d034918	Zm00001d012811	both-retained
EER90469	Zm00001d034917	.	maize1-retained
EER90470	Zm00001d034916	.	maize1-retained
KXG37080	.	Zm00001d012812	maize2-retained
KXG37081	.	Zm00001d012813	maize2-retained
EER90473	Zm00001d034915	Zm00001d012813	both-retained
EER93057	.	.	non-syntenic
OQU90591	.	Zm00001d012814	maize2-retained
EER90476	Zm00001d034914	Zm00001d012815	both-retained
EER93059	.	.	non-syntenic
OQU90593	.	.	non-syntenic
EER90477	.	.	non-syntenic
EER90478	.	.	non-syntenic
EER93060	Zm00001d034901	Zm00001d012816	both-retained
EER90479	.	.	non-syntenic
KXG37083	Zm00001d034901	Zm00001d012816	both-retained
EER93061	.	.	non-syntenic
KXG37084	Zm00001d034900	.	maize1-retained
EER90481	Zm00001d034898	Zm00001d012819	both-retained
OQU90596	.	.	non-syntenic
EER93063	Zm00001d034897	.	maize1-retained
EER93064	Zm00001d034896	Zm00001d012817	both-retained
EER90483	.	Zm00001d012818	maize2-retained
KXG37088	Zm00001d034894	.	maize1-retained
EER90485	Zm00001d034893	.	maize1-retained
EER93066	Zm00001d034892	Zm00001d012812	both-retained
KXG37089	Zm00001d034898	Zm00001d012819	both-retained
KXG37090	Zm00001d034898	Zm00001d012819	both-retained
EER93069	Zm00001d034891	.	maize1-retained
EER93070	Zm00001d034890	Zm00001d012820	both-retained
EER93071	.	.	non-syntenic
KXG37092	Zm00001d034888	.	maize1-retained
EER90487	.	Zm00001d012821	maize2-retained
KXG37095	.	.	non-syntenic
EER90488	.	.	non-syntenic
EER90489	Zm00001d034887	.	maize1-retained
KXG37096	.	Zm00001d012801	maize2-retained
EER93074	Zm00001d034886	Zm00001d012823	both-retained
KXG37098	.	Zm00001d012824	maize2-retained
EER93075	.	Zm00001d012825	maize2-retained
EER90492	.	Zm00001d012826	maize2-retained
EER90493	Zm00001d034885	Zm00001d012827	both-retained
KXG37099	Zm00001d034884	.	maize1-retained
EER93077	Zm00001d034883	Zm00001d012839	both-retained
EER90494	.	Zm00001d012830	maize2-retained
KXG37100	Zm00001d034882	Zm00001d012830	both-retained
EER93078	Zm00001d034880	.	maize1-retained
KXG37101	Zm00001d034879	.	maize1-retained
EER90497	Zm00001d034878	.	maize1-retained
EER90496	Zm00001d034877	.	maize1-retained
EER90498	Zm00001d034876	Zm00001d012831	both-retained
EER93080	Zm00001d034875	.	maize1-retained
EER93081	.	Zm00001d012832	maize2-retained
EER90499	.	Zm00001d012833	maize2-retained
KXG37102	Zm00001d034874	.	maize1-retained
EER90500	.	.	non-syntenic
OQU90604	.	.	non-syntenic
KXG37104	Zm00001d034872	.	maize1-retained
EER93083	Zm00001d034871	Zm00001d012834	both-retained
KXG37106	Zm00001d034870	.	maize1-retained
EER90503	Zm00001d034869	Zm00001d012836	both-retained
EER90502	Zm00001d034868	.	maize1-retained
EER90505	.	Zm00001d012837	maize2-retained
KXG37109	Zm00001d034867	Zm00001d012838	both-retained
KXG37110	Zm00001d034866	.	maize1-retained
KXG37111	Zm00001d034865	.	maize1-retained
EER93086	Zm00001d034865	.	maize1-retained
OQU90607	Zm00001d034863	.	maize1-retained
KXG37112	Zm00001d034862	Zm00001d012839	both-retained
EER93088	Zm00001d034859	.	maize1-retained
EER93089	Zm00001d034858	Zm00001d012840	both-retained
EER93090	Zm00001d034858	.	maize1-retained
EER90506	.	Zm00001d012844	maize2-retained
EER90507	.	.	non-syntenic
EER93091	Zm00001d034857	Zm00001d012845	both-retained
EER90508	Zm00001d034856	Zm00001d012846	both-retained
KXG37113	.	.	non-syntenic
EER93092	Zm00001d034855	.	maize1-retained
EER90510	Zm00001d034853	.	maize1-retained
EER90511	.	Zm00001d012847	maize2-retained
KXG37115	Zm00001d034852	.	maize1-retained
EER93093	Zm00001d034851	.	maize1-retained
EER90512	Zm00001d034849	Zm00001d012848	both-retained
EER93094	Zm00001d034848	.	maize1-retained
EER90514	.	Zm00001d012849	maize2-retained
EER93095	Zm00001d034848	.	maize1-retained
EER93097	Zm00001d034848	.	maize1-retained
EER90516	.	.	non-syntenic
KXG37119	.	.	non-syntenic
KXG37120	.	.	non-syntenic
EER93098	Zm00001d034844	Zm00001d012850	both-retained
KXG37122	Zm00001d034844	Zm00001d012850	both-retained
EER90517	Zm00001d034842	Zm00001d012851	both-retained
KXG37123	.	Zm00001d012852	maize2-retained
EER90518	Zm00001d034841	Zm00001d012853	both-retained
EER93100	.	Zm00001d012854	maize2-retained
EER93101	.	Zm00001d012855	maize2-retained
KXG37125	Zm00001d034840	.	maize1-retained
EER93104	.	Zm00001d012857	maize2-retained
EER90519	.	.	non-syntenic
OQU90614	.	.	non-syntenic
EER93103	Zm00001d034839	.	maize1-retained
OQU90616	Zm00001d034838	.	maize1-retained
OQU90622	Zm00001d034836	.	maize1-retained
KXG37127	Zm00001d034835	Zm00001d012856	both-retained
KXG37128	Zm00001d034834	.	maize1-retained
KXG37139	Zm00001d034834	.	maize1-retained
KXG37144	.	.	non-syntenic
OQU90632	.	Zm00001d012857	maize2-retained
KXG37145	.	.	non-syntenic
EER90524	.	.	non-syntenic
EER90525	Zm00001d034833	Zm00001d012858	both-retained
KXG37146	Zm00001d034832	.	maize1-retained
EER90527	Zm00001d034830	Zm00001d012859	both-retained
OQU90634	Zm00001d034829	.	maize1-retained
EER90528	Zm00001d034828	.	maize1-retained
OQU90635	Zm00001d034827	Zm00001d012860	both-retained
EER90530	Zm00001d034826	.	maize1-retained
KXG37151	Zm00001d034823	Zm00001d012861	both-retained
EER93108	Zm00001d034822	.	maize1-retained
EER90532	Zm00001d034818	.	maize1-retained
EER93109	Zm00001d034817	.	maize1-retained
EER90533	Zm00001d034814	.	maize1-retained
OQU90638	.	.	non-syntenic
OQU90639	.	Zm00001d012862	maize2-retained
EER93110	Zm00001d034840	.	maize1-retained
OQU90640	.	Zm00001d012862	maize2-retained
OQU90641	.	.	non-syntenic
EER90535	Zm00001d034840	.	maize1-retained
EER90536	.	.	non-syntenic
EER90537	.	.	non-syntenic
KXG37153	Zm00001d034813	.	maize1-retained
EER93114	.	Zm00001d012863	maize2-retained
EER93113	.	.	non-syntenic
KXG37156	Zm00001d034809	Zm00001d012865	both-retained
EER93115	Zm00001d034808	.	maize1-retained
KXG37160	Zm00001d034807	.	maize1-retained
EER90539	Zm00001d034805	Zm00001d012866	both-retained
EER93116	Zm00001d034804	.	maize1-retained
EER90540	Zm00001d034803	.	maize1-retained
KXG37163	Zm00001d034801	.	maize1-retained
OQU90647	Zm00001d034799	.	maize1-retained
EER90542	Zm00001d034797	.	maize1-retained
KXG37171	Zm00001d034796	.	maize1-retained
EER93118	.	Zm00001d012867	maize2-retained
EER90543	.	Zm00001d012868	maize2-retained
EER90544	.	Zm00001d012869	maize2-retained
EER90545	Zm00001d034795	.	maize1-retained
EER90546	.	.	non-syntenic
OQU90651	.	Zm00001d012873	maize2-retained
EER90548	.	.	non-syntenic
EER93119	Zm00001d034793	Zm00001d012875	both-retained
OQU90652	.	.	non-syntenic
OQU90653	.	.	non-syntenic
OQU90654	.	Zm00001d012873	maize2-retained
EER90549	.	.	non-syntenic
EER90550	Zm00001d034790	Zm00001d012878	both-retained
KXG37173	.	.	non-syntenic
EER90552	.	.	non-syntenic
OQU90655	.	Zm00001d012880	maize2-retained
EER93123	.	Zm00001d012881	maize2-retained
EER90554	Zm00001d034788	Zm00001d012882	both-retained
OQU90656	Zm00001d034787	.	maize1-retained
OQU90657	.	.	non-syntenic
EER93126	.	Zm00001d012883	maize2-retained
EER90555	.	Zm00001d012884	maize2-retained
EER90557	.	.	non-syntenic
EER93127	.	.	non-syntenic
EER90558	Zm00001d034784	.	maize1-retained
KXG37177	Zm00001d034783	.	maize1-retained
OQU90660	.	.	non-syntenic
OQU90662	Zm00001d034781	.	maize1-retained
EER93131	Zm00001d034779	.	maize1-retained
EER90561	Zm00001d034778	.	maize1-retained
KXG37178	.	.	non-syntenic
OQU90664	.	.	non-syntenic
OQU90665	Zm00001d034777	.	maize1-retained
OQU90666	.	.	non-syntenic
KXG37182	Zm00001d034776	.	maize1-retained
KXG37183	Zm00001d034773	.	maize1-retained
KXG37184	Zm00001d034776	.	maize1-retained
EER93135	Zm00001d034770	.	maize1-retained
OQU90667	.	.	non-syntenic
EER93136	.	.	non-syntenic
EER90562	.	.	non-syntenic
EER93137	.	Zm00001d012887	maize2-retained
EER93138	.	Zm00001d012887	maize2-retained
EER90563	.	Zm00001d012888	maize2-retained
EER93139	Zm00001d034763	Zm00001d012889	both-retained
EER93140	.	Zm00001d012890	maize2-retained
EER93141	Zm00001d034763	Zm00001d012889	both-retained
EER93142	Zm00001d034764	.	maize1-retained
KXG37188	Zm00001d034768	.	maize1-retained
EER93143	Zm00001d034769	.	maize1-retained
EER90564	Zm00001d034761	.	maize1-retained
EER93144	Zm00001d034760	.	maize1-retained
KXG37190	Zm00001d034759	Zm00001d012892	both-retained
EER90565	Zm00001d034758	Zm00001d012892	both-retained
KXG37194	Zm00001d034757	.	maize1-retained
EER90566	Zm00001d034756	.	maize1-retained
OQU90674	Zm00001d034755	Zm00001d012893	both-retained
EER93146	Zm00001d034754	Zm00001d012895	both-retained
EER93147	.	.	non-syntenic
KXG37195	Zm00001d034753	.	maize1-retained
KXG37197	Zm00001d034752	Zm00001d012896	both-retained
EER93149	Zm00001d034751	.	maize1-retained
EER90567	Zm00001d034750	.	maize1-retained
KXG37199	Zm00001d034749	.	maize1-retained
EER90568	.	Zm00001d012898	maize2-retained
OQU90678	Zm00001d034747	.	maize1-retained
EER90570	Zm00001d034747	.	maize1-retained
EER90571	Zm00001d034746	.	maize1-retained
EER90573	Zm00001d034745	Zm00001d012900	both-retained
EER90575	Zm00001d034745	Zm00001d012906	both-retained
OQU90679	Zm00001d034745	Zm00001d012900	both-retained
EER90577	Zm00001d034741	.	maize1-retained
KXG37201	.	.	non-syntenic
EER90578	Zm00001d034740	Zm00001d012909	both-retained
OQU90680	.	Zm00001d012910	maize2-retained
OQU90681	Zm00001d034740	Zm00001d012909	both-retained
EER93154	Zm00001d034739	.	maize1-retained
KXG37205	.	.	non-syntenic
EER93155	.	.	non-syntenic
EER90579	Zm00001d034738	.	maize1-retained
EER90580	Zm00001d034744	.	maize1-retained
EER90581	Zm00001d034734	.	maize1-retained
EER90582	Zm00001d034733	.	maize1-retained
KXG37209	Zm00001d034732	.	maize1-retained
KXG37210	.	Zm00001d012913	maize2-retained
EER90584	Zm00001d034731	.	maize1-retained
EER90585	.	Zm00001d012915	maize2-retained
EER93157	Zm00001d034730	Zm00001d012916	both-retained
KXG37212	.	.	non-syntenic
EER90586	Zm00001d034729	Zm00001d012917	both-retained
EER90587	Zm00001d034727	.	maize1-retained
KXG37214	Zm00001d034726	.	maize1-retained
KXG37215	.	.	non-syntenic
OQU90686	.	.	non-syntenic
EER90588	.	Zm00001d012918	maize2-retained
EER90589	.	Zm00001d012919	maize2-retained
EER90590	Zm00001d034725	.	maize1-retained
KXG37216	.	Zm00001d012919	maize2-retained
EER90591	Zm00001d034725	.	maize1-retained
EER90592	Zm00001d034724	.	maize1-retained
EER90593	.	.	non-syntenic
OQU90687	Zm00001d034723	.	maize1-retained
EER90595	.	.	non-syntenic
KXG37218	Zm00001d034722	.	maize1-retained
KXG37219	Zm00001d034721	Zm00001d012922	both-retained
KXG37223	.	.	non-syntenic
OQU90688	.	.	non-syntenic
EER90596	Zm00001d034719	Zm00001d012921	both-retained
EER93162	Zm00001d034718	.	maize1-retained
EER90597	.	Zm00001d012920	maize2-retained
EER93163	Zm00001d034717	.	maize1-retained
EER93164	.	Zm00001d012920	maize2-retained
KXG37225	.	.	non-syntenic
OQU90690	Zm00001d034669	.	maize1-retained
EER93165	Zm00001d034715	.	maize1-retained
EER93166	Zm00001d034714	Zm00001d012924	both-retained
KXG37227	Zm00001d034713	Zm00001d012925	both-retained
EER93167	Zm00001d034710	.	maize1-retained
KXG37228	Zm00001d034706	.	maize1-retained
KXG37229	Zm00001d034705	.	maize1-retained
KXG37230	Zm00001d034703	Zm00001d012928	both-retained
KXG37231	Zm00001d034702	.	maize1-retained
EER90604	.	Zm00001d012929	maize2-retained
KXG37232	Zm00001d034701	.	maize1-retained
EER90605	Zm00001d034700	Zm00001d012922	both-retained
EER93171	Zm00001d034699	.	maize1-retained
EER90606	Zm00001d034698	Zm00001d012930	both-retained
EER93172	Zm00001d034689	Zm00001d012931	both-retained
EER90607	Zm00001d034692	.	maize1-retained
EER93173	Zm00001d034692	.	maize1-retained
OQU90701	Zm00001d034686	.	maize1-retained
EER90609	Zm00001d034692	.	maize1-retained
EER93174	Zm00001d034686	.	maize1-retained
EER93175	Zm00001d034682	.	maize1-retained
EER93176	.	Zm00001d012932	maize2-retained
OQU90703	Zm00001d034681	.	maize1-retained
EER90611	Zm00001d034680	Zm00001d012933	both-retained
KXG37236	.	.	non-syntenic
EER90612	Zm00001d034679	Zm00001d012934	both-retained
EER90613	Zm00001d034678	Zm00001d012935	both-retained
EER90614	Zm00001d034677	Zm00001d012936	both-retained
KXG37238	Zm00001d034675	Zm00001d012954	both-retained
EER90615	Zm00001d034674	Zm00001d012953	both-retained
KXG37239	Zm00001d034673	Zm00001d012939	both-retained
EER90617	.	Zm00001d012938	maize2-retained
KXG37240	Zm00001d034672	Zm00001d012958	both-retained
KXG37241	Zm00001d034671	Zm00001d012958	both-retained
OQU90710	Zm00001d034669	.	maize1-retained
EER93178	Zm00001d034668	.	maize1-retained
KXG37246	Zm00001d034667	Zm00001d012955	both-retained
OQU90712	.	.	non-syntenic
EER93180	.	Zm00001d012956	maize2-retained
KXG37249	Zm00001d034666	.	maize1-retained
KXG37247	Zm00001d034665	.	maize1-retained
KXG37250	Zm00001d034664	.	maize1-retained
EER90621	Zm00001d034663	Zm00001d012957	both-retained
EER93184	Zm00001d034662	Zm00001d012958	both-retained
KXG37252	Zm00001d034659	Zm00001d012960	both-retained
OQU90715	.	Zm00001d012961	maize2-retained
OQU90717	.	.	non-syntenic
EER93186	.	.	non-syntenic
OQU90719	Zm00001d034669	.	maize1-retained
EER93188	Zm00001d034669	.	maize1-retained
OQU90723	.	.	non-syntenic
EER90623	Zm00001d034655	Zm00001d012962	both-retained
KXG37253	.	.	non-syntenic
