gid	ttype	po	syn	tid	impact	eff
Zm00008a000226	mRNA	0.7757739705440336	syntenic	Zm00008a000226_T01	high	exon_loss_variant
Zm00008a000441	mRNA	0.954207783568023	syntenic	Zm00008a000441_T01	high	exon_loss_variant
Zm00008a000717	mRNA	0.7580689209990565	syntenic	Zm00008a000717_T01	high	exon_loss_variant
Zm00008a000767	mRNA	0.7815848040991668	syntenic	Zm00008a000767_T01	high	exon_loss_variant
Zm00008a001216	mRNA	0.8037288989669942	syntenic	Zm00008a001216_T01	high	exon_loss_variant
Zm00008a001236	mRNA	0.9223781998348473	syntenic	Zm00008a001236_T01	high	exon_loss_variant
Zm00008a001559	mRNA	0.8302713225453218	syntenic	Zm00008a001559_T01	high	exon_loss_variant
Zm00008a001668	mRNA	0.9523947750362844	syntenic	Zm00008a001668_T01	high	exon_loss_variant
Zm00008a001710	mRNA	0.8448695088344951	syntenic	Zm00008a001710_T01	high	exon_loss_variant
Zm00008a002197	mRNA	0.8451827242524917	syntenic	Zm00008a002197_T01	high	exon_loss_variant
Zm00008a002516	mRNA	0.8108140691401188	syntenic	Zm00008a002516_T01	high	exon_loss_variant
Zm00008a002605	mRNA	0.8848694085860102	syntenic	Zm00008a002605_T01	high	exon_loss_variant
Zm00008a002718	mRNA	0.8627115421182734	syntenic	Zm00008a002718_T01	high	exon_loss_variant
Zm00008a002722	mRNA	0.8766246362754607	syntenic	Zm00008a002722_T01	high	exon_loss_variant
Zm00008a002868	mRNA	0.9494210847044485	syntenic	Zm00008a002868_T01	high	exon_loss_variant
Zm00008a003080	mRNA	0.9778020254373103	syntenic	Zm00008a003080_T01	high	exon_loss_variant
Zm00008a003086	mRNA	0.8424657534246576	syntenic	Zm00008a003086_T01	high	exon_loss_variant
Zm00008a003256	mRNA	0.7620492079541624	syntenic	Zm00008a003256_T01	high	exon_loss_variant
Zm00008a003276	mRNA	0.9804469273743017	syntenic	Zm00008a003276_T01	high	exon_loss_variant
Zm00008a003364	mRNA	0.8967433445334712	syntenic	Zm00008a003364_T01	high	exon_loss_variant
Zm00008a003409	mRNA	0.8314456217269517	syntenic	Zm00008a003409_T01	high	exon_loss_variant
Zm00008a003621	mRNA	0.8787375415282392	syntenic	Zm00008a003621_T01	high	exon_loss_variant
Zm00008a003702	mRNA	0.7863291139240506	syntenic	Zm00008a003702_T01	high	exon_loss_variant
Zm00008a003722	mRNA	0.8504323899371069	syntenic	Zm00008a003722_T01	high	exon_loss_variant
Zm00008a003778	mRNA	0.8871777703381319	syntenic	Zm00008a003778_T01	high	exon_loss_variant
Zm00008a004259	mRNA	0.9167848699763593	syntenic	Zm00008a004259_T01	high	exon_loss_variant
Zm00008a004475	mRNA	0.9711103376261747	syntenic	Zm00008a004475_T01	high	exon_loss_variant
Zm00008a004580	mRNA	0.8382269583947398	syntenic	Zm00008a004580_T01	high	exon_loss_variant
Zm00008a004728	mRNA	0.8342062065191902	syntenic	Zm00008a004728_T01	high	exon_loss_variant
Zm00008a004891	mRNA	0.7575680488425337	syntenic	Zm00008a004891_T01	high	exon_loss_variant
Zm00008a005062	mRNA	0.8860837710199938	syntenic	Zm00008a005062_T01	high	exon_loss_variant
Zm00008a005269	mRNA	0.871012291120011	syntenic	Zm00008a005269_T01	high	exon_loss_variant
Zm00008a005865	mRNA	0.798644238011549	syntenic	Zm00008a005865_T01	high	exon_loss_variant
Zm00008a005897	mRNA	0.9638972340205118	syntenic	Zm00008a005897_T01	high	exon_loss_variant
Zm00008a005994	mRNA	0.812067731934176	syntenic	Zm00008a005994_T01	high	exon_loss_variant
Zm00008a006028	mRNA	0.8400191021967526	syntenic	Zm00008a006028_T01	high	exon_loss_variant
Zm00008a006274	mRNA	0.9345524542829644	syntenic	Zm00008a006274_T01	high	exon_loss_variant
Zm00008a006348	mRNA	0.8183288607874132	syntenic	Zm00008a006348_T01	high	exon_loss_variant
Zm00008a006491	mRNA	0.9497510185604345	syntenic	Zm00008a006491_T01	high	exon_loss_variant
Zm00008a006504	mRNA	0.9437424789410349	syntenic	Zm00008a006504_T01	high	exon_loss_variant
Zm00008a006614	mRNA	0.8089487733570612	syntenic	Zm00008a006614_T01	high	exon_loss_variant
Zm00008a006723	mRNA	0.8593553034395822	syntenic	Zm00008a006723_T01	high	exon_loss_variant
Zm00008a006955	mRNA	0.971924639822682	syntenic	Zm00008a006955_T01	high	exon_loss_variant
Zm00008a006987	mRNA	0.7584256422342682	syntenic	Zm00008a006987_T01	high	exon_loss_variant
Zm00008a007104	mRNA	0.7869878010634971	syntenic	Zm00008a007104_T01	high	exon_loss_variant
Zm00008a007127	mRNA	0.7861203685551853	syntenic	Zm00008a007127_T01	high	exon_loss_variant
Zm00008a007439	mRNA	0.7544554455445545	syntenic	Zm00008a007439_T01	high	exon_loss_variant
Zm00008a007523	mRNA	0.7974306569343066	syntenic	Zm00008a007523_T01	high	exon_loss_variant
Zm00008a007699	mRNA	0.8049270990447461	syntenic	Zm00008a007699_T01	high	exon_loss_variant
